epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.04166,0.70832,0.88095,1,0.42866,0.0001667,0.0001667,0.0001667
2,15.038,0.41982,0.95238,1,0.19472,0.000343139,0.000343139,0.000343139
3,22.2757,0.2601,1,1,0.06264,0.000512316,0.000512316,0.000512316
4,30.4104,0.2209,0.97619,1,0.0539,0.000674231,0.000674231,0.000674231
5,37.9972,0.21272,0.85714,1,0.21715,0.000828886,0.000828886,0.000828886
6,45.557,0.13556,0.95238,1,0.04143,0.000976279,0.000976279,0.000976279
7,52.8176,0.17832,1,1,0.00062,0.00111641,0.00111641,0.00111641
8,59.9486,0.13051,1,1,0.0244,0.00124928,0.00124928,0.00124928
9,66.8925,0.22566,0.95238,1,0.09451,0.00137489,0.00137489,0.00137489
10,73.5052,0.24688,1,1,0.01063,0.00136994,0.00136994,0.00136994
11,80.6747,0.1574,0.97619,1,0.03681,0.00133693,0.00133693,0.00133693
12,87.6965,0.16154,0.97619,1,0.04901,0.00130393,0.00130393,0.00130393
13,94.2404,0.18881,0.97619,1,0.08408,0.00127092,0.00127092,0.00127092
14,98.8134,0.09563,0.97619,1,0.08488,0.00123791,0.00123791,0.00123791
15,103.047,0.14067,0.80952,1,0.35706,0.00120491,0.00120491,0.00120491
16,107.03,0.1911,0.80952,1,0.29777,0.0011719,0.0011719,0.0011719
17,111.53,0.13805,0.7381,1,0.553,0.00113889,0.00113889,0.00113889
18,116.363,0.06568,0.57143,1,1.62537,0.00110589,0.00110589,0.00110589
19,120.836,0.16821,0.7381,1,0.72752,0.00107288,0.00107288,0.00107288
20,125.198,0.0673,0.95238,1,0.10228,0.00103987,0.00103987,0.00103987
21,129.667,0.14715,0.97619,1,0.07706,0.00100687,0.00100687,0.00100687
22,134.085,0.23445,1,1,0.04364,0.000973861,0.000973861,0.000973861
23,138.82,0.12624,1,1,0.04956,0.000940855,0.000940855,0.000940855
24,142.498,0.09991,1,1,0.02981,0.000907848,0.000907848,0.000907848
25,146.05,0.13241,1,1,0.01634,0.000874842,0.000874842,0.000874842
26,149.627,0.11284,1,1,0.04097,0.000841835,0.000841835,0.000841835
27,154.096,0.10297,0.97619,1,0.0694,0.000808828,0.000808828,0.000808828
28,158.474,0.11189,0.97619,1,0.03495,0.000775822,0.000775822,0.000775822
29,162.802,0.07358,1,1,0.01361,0.000742815,0.000742815,0.000742815
30,166.922,0.11899,0.97619,1,0.01917,0.000709809,0.000709809,0.000709809
31,171.045,0.20206,1,1,0.01931,0.000676802,0.000676802,0.000676802
32,174.786,0.06794,0.97619,1,0.0187,0.000643795,0.000643795,0.000643795
33,178.348,0.06576,0.97619,1,0.02363,0.000610789,0.000610789,0.000610789
34,181.961,0.08928,0.95238,1,0.0739,0.000577782,0.000577782,0.000577782
35,185.529,0.06024,0.95238,1,0.05082,0.000544776,0.000544776,0.000544776
36,189.261,0.10922,0.97619,1,0.03224,0.000511769,0.000511769,0.000511769
37,193.372,0.0647,0.97619,1,0.03163,0.000478762,0.000478762,0.000478762
38,197.488,0.04969,1,1,0.02692,0.000445756,0.000445756,0.000445756
39,201.598,0.04644,0.97619,1,0.06657,0.000412749,0.000412749,0.000412749
40,205.493,0.05178,0.90476,1,0.18178,0.000379743,0.000379743,0.000379743
41,209.154,0.07414,0.90476,1,0.17009,0.000346736,0.000346736,0.000346736
42,212.926,0.05846,0.88095,1,0.13756,0.000313729,0.000313729,0.000313729
43,217.387,0.06793,0.90476,1,0.19447,0.000280723,0.000280723,0.000280723
44,221.586,0.03619,0.88095,1,0.15088,0.000247716,0.000247716,0.000247716
45,225.415,0.03936,0.90476,1,0.23817,0.00021471,0.00021471,0.00021471
46,229.48,0.06802,0.92857,1,0.18688,0.000181703,0.000181703,0.000181703
47,233.006,0.03994,0.92857,1,0.11192,0.000148696,0.000148696,0.000148696
48,236.536,0.02045,0.92857,1,0.15994,0.00011569,0.00011569,0.00011569
49,240.213,0.02868,0.92857,1,0.12869,8.26832e-05,8.26832e-05,8.26832e-05
50,244.079,0.04359,0.92857,1,0.07434,4.96766e-05,4.96766e-05,4.96766e-05
