epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.5192,0.62744,0.9,1,0.30806,0.00041675,0.00041675,0.00041675
2,12.12,0.52474,0.9625,1,0.17198,0.000833337,0.000833337,0.000833337
3,17.3686,0.39687,0.9375,1,0.1805,0.00123276,0.00123276,0.00123276
4,22.3939,0.42693,0.9625,1,0.09383,0.00156798,0.00156798,0.00156798
5,27.4742,0.20775,0.9625,1,0.07451,0.00153497,0.00153497,0.00153497
6,32.0878,0.29887,0.975,1,0.09391,0.00150197,0.00150197,0.00150197
7,37.095,0.21963,0.95,1,0.1464,0.00146896,0.00146896,0.00146896
8,42.038,0.31524,0.9375,1,0.16614,0.00143595,0.00143595,0.00143595
9,47.1436,0.33286,0.9625,1,0.08544,0.00140295,0.00140295,0.00140295
10,52.0129,0.34887,0.975,1,0.07543,0.00136994,0.00136994,0.00136994
11,57.4897,0.30006,0.9625,1,0.12999,0.00133693,0.00133693,0.00133693
12,62.3186,0.26688,0.9625,1,0.15978,0.00130393,0.00130393,0.00130393
13,67.1103,0.17941,0.925,1,0.13317,0.00127092,0.00127092,0.00127092
14,72.0745,0.20246,0.925,1,0.20213,0.00123791,0.00123791,0.00123791
15,77.252,0.36172,0.9875,1,0.06384,0.00120491,0.00120491,0.00120491
16,82.9259,0.22276,0.925,1,0.16662,0.0011719,0.0011719,0.0011719
17,87.6025,0.24696,1,1,0.05078,0.00113889,0.00113889,0.00113889
18,92.7485,0.27482,0.9875,1,0.03687,0.00110589,0.00110589,0.00110589
19,98.019,0.29016,0.9875,1,0.05949,0.00107288,0.00107288,0.00107288
20,102.742,0.24659,0.975,1,0.09778,0.00103987,0.00103987,0.00103987
21,107.561,0.20412,0.9625,1,0.0626,0.00100687,0.00100687,0.00100687
22,112.012,0.28108,0.9875,1,0.07109,0.000973861,0.000973861,0.000973861
23,116.175,0.17708,1,1,0.02249,0.000940855,0.000940855,0.000940855
24,120.345,0.14389,1,1,0.02395,0.000907848,0.000907848,0.000907848
25,124.713,0.16347,1,1,0.01501,0.000874842,0.000874842,0.000874842
26,129.313,0.18149,1,1,0.02092,0.000841835,0.000841835,0.000841835
27,133.985,0.18799,1,1,0.01619,0.000808828,0.000808828,0.000808828
