epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.177,2.31182,3.07884,2.05397,0.00556,0.0495,0.00292,0.00091,3.36712,3.64441,2.22908,0.00018,0.00018,0.00018
2,148.676,2.3126,2.76171,1.94388,0.01056,0.09406,0.00588,0.00191,3.27474,3.53478,2.12214,0.000372476,0.000372476,0.000372476
3,221.072,2.15735,2.52931,1.79125,0.01079,0.09618,0.00604,0.00201,3.33403,3.41469,2.16747,0.000557032,0.000557032,0.000557032
4,298.517,2.20758,2.38956,1.80272,0.01563,0.13932,0.00895,0.00281,3.15314,3.24483,2.05606,0.000733668,0.000733668,0.000733668
5,389.608,2.27459,2.34282,1.81043,0.01222,0.10891,0.01025,0.00307,3.12203,3.32355,2.10615,0.000902384,0.000902384,0.000902384
6,482.205,2.13142,2.28221,1.75247,0.01238,0.11033,0.00756,0.00218,3.17794,3.38177,2.191,0.00106318,0.00106318,0.00106318
7,676.744,2.09496,2.33806,1.77913,0.01452,0.12942,0.00903,0.00282,3.16625,3.26195,2.21976,0.00121606,0.00121606,0.00121606
8,783.944,2.08202,2.27938,1.74692,0.01079,0.09618,0.00686,0.00198,3.45832,3.93552,2.46274,0.00136101,0.00136101,0.00136101
9,894.903,2.20054,2.32421,1.78932,0.00873,0.07779,0.00547,0.00163,3.55413,3.87197,2.48803,0.00149805,0.00149805,0.00149805
10,990.457,2.19281,2.35291,1.80927,0.04319,0.0297,0.00948,0.00324,3.37897,3.54552,2.2887,0.00162716,0.00162716,0.00162716
11,1253.97,2.00871,2.21115,1.72419,0.01383,0.10679,0.00788,0.00253,3.30166,3.84426,2.16569,0.001604,0.001604,0.001604
12,1433.81,2.13679,2.18243,1.77311,0.02113,0.06506,0.00687,0.00216,3.34901,3.92929,2.21185,0.0015644,0.0015644,0.0015644
13,1523.62,2.16218,2.23394,1.85099,0.01936,0.02405,0.00454,0.00141,3.38616,3.99547,2.22983,0.0015248,0.0015248,0.0015248
14,3137.56,2.08961,2.26729,1.76578,0.01408,0.03819,0.0047,0.00151,3.43909,4.29519,2.30101,0.0014852,0.0014852,0.0014852
15,3229.94,2.14375,2.19288,1.79019,0.04775,0.02475,0.00892,0.00293,3.34141,3.75515,2.32437,0.0014456,0.0014456,0.0014456
16,3884.5,2.04754,2.14012,1.74588,0.07489,0.07284,0.02116,0.00636,3.12021,3.2652,2.08857,0.001406,0.001406,0.001406
